Practica1,Practica2,Practica3,Practica4,Parcial,Final,Nota
12,9,9,13.5,8,16,1
9,15,15.5,11,10,11,1
18.5,13,16,15.5,12,15,1
17.5,13,16,15,9,16,1
11.5,14.5,14,8,9,11,1
20,20,15,16,12,16,1
15.5,13,8.5,2.5,8,9,0
16.5,16.5,14,13,13,15,1
14,20,13.5,13,9,17,1
11,14,18,12,5,14,1
14.5,18,10,13.5,9,15,1
9,16.5,5,13,11,15,1
16,16.5,16,12.5,5,10,1
13.5,14.5,16.5,15,10,15,1
19,19.5,12.5,12,14,16,1
15,15.5,12,16,11,15,1
10,8.5,8.5,13.5,7,9,0
10.5,13.5,11.5,4,10,9,0
17,15,13.5,12.5,8,13,1
12.5,14.5,12,10,4,10,0
12.5,18,14,10,8,12,1
12,18.5,16,17.5,8,15,1
9.5,17,19,15,8,11,1
15.5,20,19,9,8,7,1
11,12.5,11,7.5,7,7,0
16.5,7.5,12,7.5,10,7,0
12,12.5,17,11.5,10,13,1
18,19.5,19,17,11,17,1
14.5,16,14,12,13,15,1
18,16.5,18,16.5,15,18,1
18.5,19,18,17,14,15,1
16.5,3,8.5,7,8,9,0
17,9,9.5,15.5,7,12,1
19,20,18,15,14,16,1
14,11.5,15,10.5,9,10,1
15.5,11.5,14.5,11.5,16,9,1
18.5,18,9,17.5,9,16,1
